title,region,language,titleType,primaryTitle,startYear,genres,averageRating,numVotes,isAdult
Khosla's Nest,US,en,movie,Khosla's Nest,2006,"Comedy,Crime,Drama",8.3,21339,0.0
The Dark Knight,US,en,movie,The Dark Knight,2008,"Action,Crime,Drama",9.0,2210973,0.0
Alan Partridge,US,en,movie,Alan Partridge,2013,"Action,Comedy,Crime",6.9,29072,0.0
Hey Good Looking!,GB,en,movie,Hey Good Looking!,2006,"Comedy,Romance",5.3,707,0.0
The Shark Is Still Working: The Impact & Legacy of 'Jaws',US,en,movie,The Shark Is Still Working: The Impact & Legacy of 'Jaws',2007,Documentary,7.6,609,0.0
The Wedding Weekend,US,en,movie,The Wedding Weekend,2006,"Comedy,Drama,Music",5.6,615,0.0
Aberration,US,en,movie,Aberration,2007,"Horror,Thriller",2.4,266,0.0
U Want Me 2 Kill Him?,GB,en,movie,U Want Me 2 Kill Him?,2013,"Drama,Thriller",6.3,2350,0.0
Vengeance,GB,en,movie,Vengeance,2006,"Action,Crime,Drama",3.6,132,0.0
Vengeance,US,en,movie,Vengeance,2006,"Action,Crime,Drama",3.6,132,0.0
Fantastic 4: Rise of the Silver Surfer,US,en,movie,Fantastic 4: Rise of the Silver Surfer,2007,"Action,Adventure,Family",5.6,245919,0.0
Silence,US,en,movie,Silence,2016,"Drama,History",7.2,95053,0.0
Love You to Death,US,en,tvSeries,Love You to Death,2006,"Crime,Drama,Fantasy",7.3,259,0.0
Inner Circle Line,US,en,movie,Inner Circle Line,2006,Drama,7.8,34,0.0
Paper Dolls,US,en,movie,Paper Dolls,2006,Documentary,7.4,165,0.0
Iи Traиzit,GB,en,movie,In Tranzit,2008,"Drama,Romance,War",5.8,2109,0.0
Meet Bill,US,en,movie,Meet Bill,2007,"Comedy,Drama",6.2,19196,0.0
The Dallas Buyers Club,US,en,movie,Dallas Buyers Club,2013,"Biography,Drama",8.0,424174,0.0
The Dirt,US,en,movie,The Dirt,2019,"Biography,Comedy,Drama",7.0,35437,0.0
"Lust, Caution",US,en,movie,"Lust, Caution",2007,"Drama,History,Romance",7.5,36007,0.0
Interstellar,US,en,movie,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,1416112,0.0
Pet Sematary,US,en,movie,Pet Sematary,2019,"Horror,Mystery,Thriller",5.7,73426,0.0
The Last House on the Left,US,en,movie,The Last House on the Left,2009,"Horror,Thriller",6.5,82893,0.0
A Melody Looking,US,en,movie,A Melody Looking,2006,Musical,5.4,27,0.0
